Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
29,0,Control,0.0,0.25,0.1,0,99
29,1,Equal,0.1,0.1,0.1,1,1.2947672240002248
29,2,Increase,0.1,0.25,0.1,1,0.7925610199999937
29,3,Control,0.0,0.25,0.1,1,0.7238307930001611
29,4,Increase,0.1,0.25,0.07943282347242815,1,0.46819429600009244
29,5,Control,0.0,0.25,0.07943282347242815,1,0.431349930000124
29,6,Equal,0.1,0.1,0.07943282347242815,1,0.6113727980000476
29,7,Control,0.0,0.1,0.1,1,0.4676037270000961
29,8,Increase,0.1,0.25,0.06309573444801932,1,0.3028724030000376
29,9,Control,0.0,0.25,0.06309573444801932,1,0.37906536699983917
29,10,Equal,0.25,0.25,0.1,1,0.3343555420001394
29,11,Control,0.0,0.25,0.05011872336272722,1,0.4173884239999097
29,12,Equal,0.25,0.25,0.07943282347242815,1,0.38020458499977394
29,13,Decrease,0.25,0.1,0.1,1,0.3772549660002369
29,14,Control,0.0,0.25,0.03981071705534971,1,0.41269013900000573
29,15,Equal,0.1,0.1,0.06309573444801932,1,0.3430037769999217
29,16,Increase,0.1,0.25,0.05011872336272722,1,0.39435697199996866
29,17,Increase,0.1,0.25,0.03981071705534971,1,0.3306276409998645
29,18,Equal,0.25,0.25,0.06309573444801932,1,0.31737034500019945
29,19,Control,0.0,0.1,0.07943282347242815,1,0.2977427800001351
29,20,Control,0.0,0.25,0.031622776601683784,1,0.45105943199996545
29,21,Decrease,0.25,0.1,0.07943282347242815,1,0.23824193600012222
29,22,Increase,0.1,0.25,0.031622776601683784,1,0.3933911120002449
29,23,Increase,0.1,0.25,0.02511886431509579,1,0.49253803900001003
29,24,Equal,0.1,0.1,0.05011872336272722,1,0.3036748469999111
29,25,Equal,0.1,0.1,0.03981071705534971,1,0.21874310700013666
29,26,Equal,0.25,0.25,0.05011872336272722,1,0.23919780100004573
29,27,Control,0.0,0.25,0.02511886431509579,1,0.33837131899963424
29,28,Control,0.0,0.1,0.06309573444801932,1,0.31557658600013383
29,29,Control,0.0,0.1,0.05011872336272722,1,0.25452578000022186
